champion_name,champion_id,matches_played,wins,winrate,avg_kills,avg_deaths,avg_assists
Varus,110,9806,4778,48.73,7.07,6.52,5.95
Ambessa,799,9670,4644,48.02,5.97,5.47,5.24
Brand,63,9571,4800,50.15,4.95,6.75,8.6
Janna,40,9484,4819,50.81,1.64,4.73,14.87
Pantheon,80,9305,4552,48.92,6.68,6.62,7.5
Velkoz,161,9289,4700,50.6,5.51,5.88,8.58
Riven,92,9220,4787,51.92,6.47,5.74,4.63
Irelia,39,9219,4577,49.65,6.58,6.87,4.17
Hwei,910,9136,4482,49.06,5.36,5.47,7.96
Zeri,221,9116,4619,50.67,7.54,5.92,6.43
Aatrox,266,9108,4470,49.08,5.79,5.5,5.5
Garen,86,9055,4520,49.92,5.94,5.43,3.6
Hecarim,120,8713,4414,50.66,7.58,5.21,7.67
Draven,119,8648,4331,50.08,7.91,6.75,5.6
Alistar,12,8631,4432,51.35,1.52,5.93,14.57
Xerath,101,8551,4198,49.09,6.06,5.04,8.61
Pyke,555,8363,4237,50.66,6.26,7.16,10.2
